"symbol","previousClose","open","dividendYield","dividendPerShare","dividendPayDate","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","1YrTargetPrice","daysValueChange","pricePaid","holdingsGainPercent","annualizedGain","holdingsGain","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","epsEstimateNextYear","epsEstimateNextQuarter","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","tickerTrend","holdingsValue"
"AUQ",0.018,0.017,,,,,-0.001,-0.05556,"2017-01-30",0.017,0.017,0.017,,,,,,,0.033,0.014,10070000,,"ASX",660131,-0.074,,,0,0.021,"-199421.00",53.404,0.857,,0,,,"0.000",,
"AUZ",0.009,0.009,,,,,0,0,"2017-01-30",0.008,0.009,0.009,,,,,,,0.035,0.005,9970000,,"ASX",916078,-0.001,,,0,0.004,"-636259.00",,2.25,,0,,,"0.000",,
"AVB",0.079,0.079,,,,,0.003,0.037970000000000004,"2017-01-30",0.079,0.083,0.082,,,,,,,0.084,0.048,201470000,,"ASX",5283907,-0.001,0,,0,0.035,2430000,14.458,2.257,,0,,8.2,"0.000",,
"AVD",0.02,0.02,,,,,0,0,"2017-01-30",0.02,0.02,0.02,,,,,,,0.03,0.01,3560000,,"ASX",100000,-0.02,,,0,0.03,"-954559.00",171.68,0.8,,0,,,"0.00",,
"AVG",0.52,0.53,,,,"10/29/2014",0,0.0095,"2017-01-30",0.52,0.53,0.53,,,,,,,0.66,0.37,123100000,,"ASX",50615,-0.01,0.02,,0,1.26,17690000,0.5,0.42,,0,26.5,13.25,"0.00",,
"AVH",0.105,0.11,,,,,0.01,0.09523999999999999,"2017-01-30",0.11,0.12,0.115,,,,,,,0.153,0.088,61270000,,"ASX",204272,-0.016,-0.02,,0,0.013,-11270000,55.827,8.077,,0,,11.5,"0.000",,
"AVI",0.019,0.019,,,,,-0.001,-0.052629999999999996,"2017-01-30",0.018,0.019,0.018,,,,,,,0.057,0.001,6900000,,"ASX",369426,-0.01,0,,0,0.105,-1550000,460.05,0.181,,0,,,"0.000",,
"AVJ",0.6,0.6,0,0,,"9/8/2016",0.005,0.008329999999999999,"2017-01-30",0.6,0.61,0.605,,,,,,,0.725,0.5,231160000,,"ASX",28419,0.107,0.11,,0,0.952,56500000,0.543,0.63,5.654,-3.68,5.5,6.05,"0.000",,
"AVL",0.016,0.016,,,,,0,0,"2017-01-30",0.016,0.016,0.016,,,,,,,0.028,0.007,17240000,,"ASX",3769757,-0.001,,,0,0.018,-1270000,59.434,0.889,,0,,,"0.000",,
"AVN",2.27,2.3,,,,"9/29/2016",0.03,0.0132,"2017-01-30",2.28,2.34,2.3,,,,,,,2.55,1.98,,,"ASX",157810,0.19,0.18,,0,0,"0.00",,,,0.73,12.78,12.11,"0.00",,
"AVQ",0.16,0.16,,,,,-0.003,-0.01875,"2017-01-30",0.155,0.16,0.157,,,,,,,0.39,0.12,52970000,,"ASX",441583,-0.066,-0.01,,0,0.021,-9640000,2999.207,7.619,,0,,7.85,"0.000",,
"AWC",1.96,1.96,5.12,0.07,,"8/30/2016",0.005,0.00255,"2017-01-30",1.95,1.98,1.965,,,,,,,2.04,0.98,5660000000,,"ASX",9878992,-0.009,0.04,,0,0.723,"0.00",18814.791,2.711,,1.56,49.125,21.833,"0.000",,
"AWE",0.62,0.62,,,,"12/3/2008",0,-0.008100000000000001,"2017-01-30",0.6,0.62,0.61,,,,,,,0.95,0.36,321310000,,"ASX",691617,-0.69,-0.02,,0,0.83,4980000,2.23,0.74,,-0.04,,61,"0.00",,
"AWY",0.041,0.043,,,,,0.002,0.048780000000000004,"2017-01-30",0.043,0.043,0.043,,,,,,,0.06,0.03,6590000,,"ASX",20930,-0.004,,,0,0.013,"-66717.00",999.883,3.154,,0,,,"0.000",,
"AXE",0.077,0.075,,,,,-0.008,-0.1039,"2017-01-30",0.068,0.075,0.069,,,,,,,0.115,0.058,7600000,,"ASX",347323,-0.015,,,0,0.141,-1250000,131.482,0.546,,0,,,"0.000",,
