symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
GNV,Green Invest Ltd.,-0.02,0.03,-,-,-,2780000,-,0,-,0,-,0,-,-,-0.02,0,0.54,0,0,59.51,59.51,-,-,-,-,-16.82,-,-87.21,-,-61.63,-37.95,-61.63,-,-87.81,-,-,73.98,-,99.88,-428.41,-458.63,-485.9,-,-41.2,-,-,-,0,-
GNX,Genex Power Ltd,-0.04,0.23,0.19,125,5.39,37990000,-,0,-,0,-,0,-,-,0.04,0.02,1.8,0,0,21.37,21.37,0,0,44.09,44.09,-46.61,-55.99,-,-55.99,-41.72,-,-41.72,-79.66,-,-79.66,-,23.09,-,-,-877.27,-877.27,-896.09,-,-,-,-,-,"18,681.00","305,773.00"
GOAN,GOAN_VMB,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GOE,GO Energy Group Ltd,-0.01,0.03,0.03,-27.03,21.12,9740000,-,0,-,0,-,0,-,-,0,0,0.87,8.34,6.33,30.52,36.44,60.57,-,221.61,-,-35.82,"-3,405.73",-45.48,-288.01,-152.66,-30.59,-110.01,-,-48.59,-443.19,1.83,250.37,-,6.18,-17.13,-19.13,-18,-,-7.83,8.86,-,-,0,-
GOLD,ETFS Metal Securities Austrailia Ltd,0,151.95,160.92,2.18,93.63,497690000,-,0,-,0,-,0,-,-,1.63,0.05,1.67,0,0,60.03,64.57,0.01,0.01,150.18,182.22,-,0,0,0,0,0,0,0,0,0,-0.21,5.37,-,-,-,-,-,-,-,-,-,-,"5,194.00","3,876.00"
GOM,Global Mineral Resources Ltd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,5.26,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,58.79,-,-,-,-,-,-,-,-,-,-,-,-
GOO,Gooroo Ventures Ltd,-0.01,0.19,-,-,-,6470000,-,0,-,0,-,0,-,-,0,0.01,0.58,0,0,93.43,93.43,-,-,-,-,-29.48,-,-,-,-,-,-47.97,-,-,-,-,0.84,-,-,"-33,298.80","-34,522.75","-21,376.05",-,-,-,-,-,"79,425.00","49,740.00"
GOR,Gold Road Resources Ltd,-0.01,0.58,0.61,60.1,3.26,509630000,-,0,-,0,-,0,-,-,0.18,0.1,16.89,0,0,0,0,0,0,0,0,-,-7.39,-13.46,-7.39,-7.12,-12.84,-7.12,-7.4,-13.47,-7.4,0.26,744.31,-,-,-560.97,-594.45,-532.16,-,35.16,54.76,-,-,"788,438.00",1230000
GOW,Gowing Bros. Limited,0.41,3.5,3.43,9.38,0.95,187840000,8.56,0.06,0.06,0.12,0.12,0.12,3.43,6.16,3.7,0.39,0.73,7.44,7.44,17.29,17.29,10.58,10.58,24.56,24.56,-,8.75,6.1,8.75,8.03,5.86,8.03,11.41,8.15,11.41,0.52,23.14,-,86.42,37.66,142.01,99.31,27.44,6.06,10.65,27.79,-2.2,0,"13,273.00"
GOZ,Growthpoint Properties Australia Ltd,0.39,3.11,3.22,4.65,1.18,1990000000,7.97,0.07,0.11,0.17,0.18,0.17,5.65,114.4,2.67,0.12,2.63,42.63,42.63,42.63,42.63,79.79,79.79,79.79,79.79,-,8.73,8.09,8.73,8.43,7.78,8.43,15.12,14.97,15.12,0.45,277.03,-,87.29,82.47,124.56,103.8,38.92,17.42,-,13.15,-,"481,308.00","377,087.00"
GOZN,GROWTHPRO NEW,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"9,534.00"
GOZNA,GROWTHPRO NEW,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GPP,Greenpower Energy Limited,-0.01,0.03,0.01,599.96,22.62,24680000,-,0,-,0,-,0,-,-,0,0,3.2,0,0,0,0,0,0,0,0,-64.5,-202.43,-42.18,-202.43,-159.46,-39.46,-159.46,-202.43,-42.74,-202.43,-1.33,783.54,-,-,"-12,278.34","-22,945.81","-23,136.31",-,-44.92,-,-,-,8890000,12080000
GPPN,GREENPOWER DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GPR,Geopacific Resources Ltd,0,0.04,0.04,8.57,0.64,42760000,-,0,-,0,-,0,-,-,0.06,0.02,12.24,0,0,0.01,0,0,0,0.01,0,-,-4.97,-11.06,-5.72,-4.86,-10.78,-5.57,-4.97,-11.07,-5.72,2.45,"1,092.36",-,-,"-12,204.49","-13,041.28","-13,041.28",-,-17.99,10.27,-,-,"56,973.00","276,014.00"
GPS,GPS Alliance Holdings Ltd,-0.06,0.02,0.07,-80,0.32,1460000,-,0,-,0,-,0,-,-,0.05,0.01,0.55,0.24,0.28,35.45,57.69,0.93,1.17,139.66,237.66,-,-124.5,-,106.25,-42.2,-,14.34,-98.27,-,182.2,-,8.02,-,-878.6,"-2,302.34","-3,036.96","-3,036.96",-,-,-,-,-,0,-
GPT,GPT Group,0.57,4.65,5.09,-1.05,1.12,8360000000,8.2,0.12,0.12,0.22,0.2,0.23,4.21,380,4.19,0.04,1.15,26.72,24.59,26.78,24.8,39.09,34.99,39.18,35.29,-,9.74,6.35,8.41,9.36,6.03,8.1,13.48,8.19,11.83,0.7,"1,790.40",-,76.15,66.53,64.45,147.73,16.09,3.91,-2.03,17.09,-6.37,5050000,3860000
GPX,Graphex Mining Ltd,-,0.38,-,-,2.09,20300000,-,-,-,0,-,-,-,-,0.17,0.09,6.25,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,34.7,-,-,-,-,-,-,-,-,-,-,"439,304.00","45,830.00"
GRA,GRAPHITECO FPO,-,0.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"6,833.00"
GRB,Gage Roads Brewing Co Limited,0,0.05,0.04,-7.65,1.58,42970000,40.65,0,-,0,-,0,-,-,0.03,0.01,0.49,0,0,28.61,28.61,0,0,57.86,57.86,2.47,3.7,0.85,3.7,1.84,0.54,1.84,3.75,1.15,3.75,1.45,854.18,-,51.81,10.96,6.45,2.4,37.98,10.08,36.15,29.02,-,"542,096.00","722,562.00"
GRG,GRG International Limited,-0.01,0,-,-,-,-,-,0,-,0,-,0,-,-,0.08,0.01,1.08,-,-,1.25,1.25,-,-,1.8,1.8,8.79,-10.21,-,-10.21,-7,-,-7,-10.29,-,-10.29,-,45.88,-,30.71,7.93,-7.52,-7.56,-,-,-,-,-,0,-
GRKNB,GREEN ROCK DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GRMDA,GLOBALCORP DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"13,972.00"
GRMNA,GLOBALCORP DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GRR,Grange Resources Limited,-0.14,0.19,0.12,115.91,0.9,225680000,-,0,0,0,0,0,2.63,11.58,0.21,0.12,6.12,2.17,1.36,3.63,2.66,3.01,1.82,5.04,3.55,-,-39.57,-2.54,-62.79,-36.2,-2.34,-57.31,-45.74,-2.91,-71.17,1.06,"1,079.19",-,25.99,29.93,-31.66,-75.47,-,-,-,-,-,3680000,"959,535.00"
GRV,Greenvale Energy Ltd,0,0.05,0.04,122.22,1.18,4290000,-,0,-,0,-,0,-,-,0.03,0.03,21.84,0,0,0,0,0,0,0,0,-26.42,-11.87,-21.2,-11.87,-9.88,-18.5,-9.88,-11.87,-21.2,-11.87,1.44,25.88,-,-,-134.81,-134.81,-139.92,-,-,-,-,-,"201,400.00","45,294.00"
GRVCA,Greenvale Energy Ltd,-0.02,0.01,-,-,-,4010000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GRVN,GREENVALE DEF X PPD,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GRY,Gryphon Minerals Limited,-0.02,0,0.14,253.45,4.28,-,-,0,-,0,-,0,-,-,0.05,0.03,3.64,0,0,0,0,0,0,0,0,-174.02,-40.78,-15.92,-40.78,-37.11,-15.17,-37.11,-39.26,-15.86,-39.26,0.81,425.7,-,-,-406.44,-439.16,-441.67,-,-3.62,37.95,-,-,0,1300000
GSC,Global Geoscience Limited,-0.01,0.1,0.05,"1,157.14",372.46,102370000,-,0,-,0,-,0,-,-,0,0,1.01,0,0,0,0,0,0,0,0,-,-268.77,-51.32,-268.77,-241.82,-49.91,-241.82,-268.77,-51.32,-268.77,0.49,480.86,-,-,"-32,361.60","-180,928.90","-180,928.50",-,-67.91,-,-,-,1450000,1030000
GSE,Goldsearch Ltd,-,0.08,-,-,-,1230000,-,-,-,-,-,-,-,-,-,-,0.32,0,0,0,0,-,-,-,-,-,-,-76.37,-,-178.81,-66.53,-178.81,-,-76.37,-,-,5.43,-,-,-,-,-,-,-,-,-,-,0,-
GSS,Genetic Signatures Ltd,-0.04,0.41,0.5,-46.67,6.23,41100000,-,0,-,0,-,0,-,-,0.06,0.04,4.1,0,0,0,0,0,0,0,0,"-2,571.83",-,-,-51.52,-,-,-43.98,-,-,-51.58,-,83.41,-,69.74,-78.22,-90.11,-90.14,-,-,-,-,-,"21,121.00","101,405.00"
GSW,GetSwift Ltd,-,0.31,-,-,327.95,13250000,-,-,-,0,-,-,-,-,0,0,6.67,44.9,-,44.9,-,111.44,-,111.44,-,"-5,584.54",-,-,-206.39,-,-,-168.54,-,-,-302.17,-,-,-,-,-,-,-,-,-,-,-,-,"33,703.00","105,420.00"
GSZ,Global Strategic Metals NL,-0.01,0,0.02,45,0.4,-,-,0,-,0,-,0,-,-,0.07,0,0.02,0,0,24.63,19.57,0,0,34.43,27.48,-2.5,-15.92,-58.62,-19.53,-12.74,-42.18,-14.68,-16.98,-61.96,-20.81,3.94,158.22,-,-,"-13,644.98","-15,397.95","-23,452.87",-,-0.04,-17.51,-,-,0,"295,595.00"
GTE,Great Western Exploration Limited,-0.01,0.02,0.02,0,1.68,6940000,-,0,-,0,-,0,-,-,0.01,0,0.1,0,0,0,0,0,0,0,0,-,-67.02,-49.73,-67.02,-59.62,-47.19,-59.62,-67.02,-49.73,-67.02,-0.13,301.64,-,-,-1940000,-1950000,-1860000,-,-74.51,-,-,-,4430000,"570,642.00"
GTG,Genetic Technologies Limited,0,0.01,0.02,-50,1.44,21920000,-,0,-,0,-,0,-,-,0.01,0.01,9.11,0,0,0,0,0,0,0,0,-,-54.68,-79.62,-54.68,-49.74,-66.41,-49.74,-54.85,-84.09,-54.85,1.08,"2,338.71",-,9.89,-984.05,"-1,025.85","-1,025.85",-,-29.08,-22.65,-,-,7770000,3500000
GTK,Gentrack Group Ltd,-,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,458.00","10,981.00"
GTN,Gtn Ltd,-0.12,2.55,-,-,2.45,565990000,-,0,-,0,-,0,-,-,1.06,0.24,2.73,27.38,27.38,27.38,27.38,45.04,45.04,45.04,45.04,1.18,-,-,-6.32,-,-,-5.68,-,-,-9.4,-,136.2,-,-,18.97,-1.47,-10.37,-,-,-,-,-,"172,329.00","261,278.00"
GTR,GTI Resources Ltd,-0.01,0.03,0.02,-,-,1920000,-,0,-,0,-,0,-,-,-0.01,0,0.03,0,0,235.84,309.44,-,-,-,-,-,-,-164.41,-,-930.27,-99.05,-854.35,-,-174.48,-,0.72,12.91,-,-,"-24,759.70","-24,836.82","-17,064.18",-,-47.58,-,-,-,0,-
GTY,Gateway Lifestyle Group,0.15,2.02,2.52,-27.03,1.09,604780000,13.8,0.06,0.04,0.11,0.09,0.11,4.45,13.24,1.87,0.06,0.95,14.73,14.73,14.73,14.73,18.5,18.5,18.5,18.5,22.3,6.74,-,6.74,6.37,-,6.37,7.84,-,7.84,-,255.82,-,56.08,32.62,33.67,34.21,-,-,-,-,-,1010000,"911,499.00"
GUD,GUD Holdings Limited,-0.48,9.94,9.71,26.2,3.5,852250000,-,0.23,0.23,0.43,0.43,0.43,4.31,35.82,2.85,0.21,2.03,27.09,27.09,30.09,30.09,68.89,68.89,76.52,76.52,5.68,-10.68,7.71,-10.68,-7.22,5.58,-7.22,-14.41,10.18,-14.41,0.89,85.24,-,40.1,14.46,-1.45,-6.87,-,-0.03,2.56,-,-,"226,982.00","140,261.00"
GUL,Gullewa Limited,-0.03,0.02,0.02,42.86,0.67,3000000,-,0,-,0,-,0,-,-,0.03,0.02,9.43,0,0,4.48,4.48,0,0,4.87,4.87,-,-64.67,-34.69,-64.67,-53.53,-27.09,-53.53,-64.67,-30.95,-64.67,0.15,147.08,-,-,-481.44,"-2,505.26","-2,434.31",-,-26.44,-21.46,-,-,0,"19,539.00"
GVF,Global Value Fund Ltd,-,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"58,836.00","61,007.00"
GWA,GWA Group Ltd,0.19,2.63,2.55,24.21,2.19,694180000,13.86,0.08,0.08,0.15,0.15,0.15,5.88,18.72,1.17,0.14,2.32,23.49,23.49,23.49,23.49,39,39,39,39,23.07,11.81,5.88,11.81,9.78,5.04,9.78,16.92,8.78,16.92,0.55,186.8,-,40.88,19.09,17.8,11.81,-2.53,-7.28,-3.38,-2.39,-1.69,1480000,"927,193.00"
GWR,GWR Group Ltd,-0.05,0.04,0.04,20,0.51,9580000,-,0,-,0,-,0,-,-,0.08,0.04,11.29,0,0,0,0,0,0,0,0,-7.16,-45.19,-8.17,-45.19,-43.86,-8.08,-43.86,-45.68,-8.2,-45.68,0.64,125.91,-,-,-306.95,"-1,329.56","-1,373.40",-,-12.24,27.63,-,-,"95,000.00","3,961.00"
GXL,Greencross Limited,0.3,6.75,6.91,-1.32,1.76,784030000,22.48,0.1,0.1,0.18,0.18,0.18,2.75,10.28,3.81,0.55,1.33,32.11,32.11,32.6,32.6,66.03,66.03,67.04,67.04,4.48,5.35,-2.95,5.35,4.53,-2.47,4.53,8.24,-6.02,8.24,0.57,95.09,-,55.73,12.19,9.49,5.27,58.54,64.35,-,20.15,-,"423,226.00","334,821.00"
GXNCA,GLOBAL MTL CTG,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
GXY,Galaxy Resources Limited,0.05,0.62,0.43,225.64,8.14,1150000000,11.66,0,-,0,-,0,-,-,0.08,0,8.8,20.26,11.64,20.26,13,28.69,14.81,28.69,16.54,-1.15,45.27,-51.97,-16.69,35.1,-26.94,-6.56,52.1,-79.39,-21.16,1.19,"1,655.08",-,97.46,-39.15,"1,721.83","1,642.32",-,-,-,-,-,12380000,12830000
GZL,Gazal Corporation Limited,0.16,2.26,2.15,9.63,1.1,130820000,14.52,0.07,0.35,0.12,0.12,0.12,5.31,27.78,2.05,0.22,1.52,0,0,0.6,0.6,0,0,0.8,0.8,-,6.83,5.97,6.83,4.97,4.18,4.97,8.24,8.39,8.24,0.45,9.39,-,45.48,14.38,15.76,13.45,-0.96,-23.42,-11.02,-0.3,-1.75,"1,152.00","1,022.00"
HAO,Haoma Mining NL,-0.03,0.14,0.13,133.33,-,27570000,-,0,-,0,-,0,-,-,-0.34,0,0,0,0,946.89,946.89,-,-,-,-,-,-,-,-,-78.01,-12.51,-78.01,-,-,-,1.92,36.78,-,-776.13,"-1,236.19","-1,291.29","-1,951.81",-,-6.53,-4.63,-,-,"10,000.00","42,968.00"
HAR,Haranga Resources Ltd,0,0,0,60,0.04,1450000,-,0,-,0,-,0,-,-,0.07,0,0.59,0,0,0,0,0,0,0,0,-363.66,-3.02,-14.04,-5.53,-2.93,-13.57,-5.41,-2.94,-13.62,-5.44,1.92,127.89,-,-,"-2,799.04","-2,872.99","-2,874.42",-,-42.83,-,-,-,"35,000.00","53,978.00"
HAS,Hastings Technology Metals Ltd,0,0.08,0.08,19.4,1.02,42010000,-,0,-,0,-,0,-,-,0.08,0.02,7.53,0,0,0,0,0,0,0,0,-,-0.84,-5.8,-0.84,-0.81,-5.54,-0.81,-0.84,-5.8,-0.84,1.67,324.01,-,-,-744.33,-744.33,-170.22,-,-20.1,-,-,-,"98,800.00","102,005.00"
HAV,Havilah Resources Ltd,0.01,0.71,0.58,223.81,2.88,121510000,96.86,0,-,0,-,0,-,-,0.24,0,0.32,0.01,0.01,6.47,6.47,0.02,0.02,8.39,8.39,-2.2,2.88,-10.94,2.88,2.59,-9.96,2.59,3.11,-10.32,3.11,1.84,68.83,-,50.04,-20.01,-49.2,43.78,-,39.51,7.88,-,-7.06,"118,171.00","42,907.00"
HAVN,HAVILAH DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
HAW,Hawthorn Resources Limited,-0.01,0.03,0.04,50,0.33,4620000,-,0,-,0,-,0,-,-,0.08,0.03,15.06,0,0,0,0,0,0,0,0,-,-11.87,-12.31,-11.87,-11.67,-11.99,-11.67,-11.87,-12.31,-11.87,0.91,68.13,-,-,-786.37,"-1,089.04","-1,089.04",-,4.16,13.9,-,-,"106,063.00","35,451.00"
HAZN,HAZELWOOD DEF,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
HCH,Hot Chili Ltd,-0.03,0.03,0.05,-58.33,0.18,16290000,-,0,-,0,-,0,-,-,0.17,0,0.02,0,0,8.19,8.19,0,0,11.54,11.54,-2.44,-12.59,-11.39,-12.59,-9.68,-9.8,-9.68,-12.47,-11.36,-12.47,2.21,340.13,-,-,"-36,577.58","-37,012.41","-51,304.92",-,-29.12,-,-,-,"427,000.00","215,455.00"
HCT,Holista Colltech Limited,0,0.12,0.15,35.87,6.61,21460000,-,0,-,0,-,0,-,-,0.02,0,2.19,11.55,11.55,17.38,17.38,18.87,18.87,28.4,28.4,-7.07,-11.71,-30.72,-11.71,-7.99,-18.13,-7.99,-14.34,-45.37,-14.34,-0.04,67.12,-,57.72,-11.41,-14.76,-6.52,-,0.67,43.4,-,-,"24,754.00","132,977.00"
HDF,APA Sub Group,-0.36,0,2.52,44.67,3.3,-,-,0.05,-,0.1,-,0.1,-,51.77,0.86,0.57,-,62.34,75.11,62.61,75.42,256.9,461.5,258.01,463.38,0.47,-11.6,-1.59,-1.86,-11.26,-1.47,-1.78,-44.82,-3.52,-5.88,0.22,39.73,-,-,-5.42,-144.35,-123.24,-,1.59,-,-,-,0,-
HDG,Hodges Resources Limited,-0.01,0.01,-,-,-,1440000,-,0,-,0,-,0,-,-,0.04,0,0.18,0,0,0,0,0,0,0,0,-27.17,-23.2,-38.73,-23.2,-20,-36.18,-20,-23.2,-38.73,-23.2,0.78,104.65,-,-,"-335,825.00","-339,603.10","-352,100.00",-,-75.33,-,-,-,0,-
HDX,Hughes Drilling Ltd,0.02,0.08,0.09,-40.74,0.23,16690000,4.22,0,-,0,-,0,-,-,0.35,0.01,1.17,14.61,12.18,34.5,33.41,31.37,26.58,74.08,72.91,4.26,4.48,11.25,9.1,2.69,7.12,5.63,5.39,14.72,11.62,0.93,110.04,-,17.92,23.75,9.76,4.29,-,35.45,41.37,-,23.95,0,-
HDXDA,HUGHES_DRL DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
HEADA,HLTH CORP DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
HEG,Hill End Gold Limited,0,0,0,0,0.15,2990000,-,0,-,0,-,0,-,-,0.01,0,0.72,0,0,0,0,0,0,0,0,-479.35,-7.85,-15.48,-7.85,-7.65,-15.02,-7.65,-7.93,-15.61,-7.93,1.18,"1,414.98",-,100,-633.86,-660.48,-661.83,-,-17.15,9.46,-,-,27060000,3960000
HFA,HFA Holdings Limited,0.12,2.26,2.29,-9.69,1.13,366450000,18.45,0.09,0.09,0.14,0.16,0.14,6.85,22.72,2.07,0.22,3.34,0,0,0,0,0,0,0,0,101.74,5.86,17.21,5.86,5.52,15.8,5.52,5.86,20.98,5.86,0.57,131.11,-,91.37,42.1,34.48,21.27,18.62,0.74,10.28,15.56,-,"47,426.00","85,796.00"
HFR,Highfield Resources Ltd,-0.03,1.23,1.32,-28.32,2.49,396090000,-,0,-,0,-,0,-,-,0.5,0.3,23.78,0,0,0,0,0,0,0,0,-,-6.62,-,-6.62,-6.48,-,-6.48,-6.62,-,-6.62,0.17,151.84,-,-,-496.01,-497.86,-445.85,-,-,-,-,-,"104,826.00","255,201.00"
HGG,Henderson Group plc,-,3.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7500000,2260000
HGL,Hudson Investment Group Limited,0.01,0.03,0.03,17.24,2.84,9530000,4.02,0,-,0,-,0,-,-,0.01,0,0.08,55.08,56.07,55.08,56.07,186.89,140.9,186.89,140.9,-,18.61,-7.37,5.64,18.41,-6.56,5.31,52.35,-17.82,28.34,-,127.96,-,74.36,242.41,242.41,207.35,-18.39,-19.64,-6.31,-18.48,-14.04,0,182
HGO,Hillgrove Resources Limited,-0.98,0.06,0.06,-51.85,0.09,12620000,-,0,-,0,-,0,-,-,0.72,0,0.66,7.63,7.09,9.57,26.42,11.12,23.49,13.93,87.57,-3.72,-143.43,-11.48,-62.33,-103.06,-9.57,-50.73,-157.67,-13.36,-67.7,0.62,149.88,-,-23.46,19.6,-133.11,-146.44,-,73.11,83.82,-,-,"283,250.00","343,150.00"
HHL,Hunter Hall International Ltd,0.39,2.5,3.56,-18.32,2.11,68270000,6.41,0.15,0.15,0.29,0.29,0.29,12.87,5.89,1.06,0.6,2.76,0,0,0,0,0,0,0,0,"1,332.76",72.44,39.87,72.44,41.21,26.86,41.21,40.67,31.7,40.67,1.48,12.36,-,95.52,57.25,56.76,48.4,-0.58,2.32,0.5,-0.62,-2.64,"264,384.00","319,587.00"
HHM,Hampton Hill Mining NL,0,0.03,0.03,-,1.75,7070000,-,0,-,0,-,0,-,-,0.02,0.01,3.47,0,0,12.49,12.49,0,0,14.65,14.65,-,-10.28,-26.27,-10.28,-9.12,-24.91,-9.12,-10.28,-26.27,-10.28,-0.9,65.63,-,-,-56.79,-61.92,-200.63,-,19.82,8.46,-,-,0,-
HHV,Hunter Hall Global Value Ltd,0.11,1.2,1.32,8.52,0.9,292370000,10.44,0.04,0.04,0.06,0.06,0.06,5.37,24.43,1.35,0.29,-,0,0,0,0,0,0,0,0,-,8.86,9.21,8.86,8.71,9.09,8.71,9.37,9.44,9.37,0.49,236.87,-,-39.16,-58.38,-58.38,790.08,21.72,-4.6,-3.75,23.82,-4.86,1870000,"535,315.00"
HHY,HHY Fund,0.02,0.1,0.12,13.4,0.86,9310000,5.97,-,-,-,-,0,-,0,0.13,0.03,-,0,0,0,0,0,0,0,0,-,13.85,-0.12,13.85,13.65,-0.11,13.65,14.18,-0.12,14.18,0.63,52.29,-,89.17,77.87,77.87,77.87,-,-34.2,-14.88,-,-18.13,"316,903.00","221,578.00"
HIG,Highlands Pacific Limited,-0.12,0.06,0.06,3.64,4.52,55060000,-,0,-,0,-,0,-,-,0.01,0.01,3.29,90.12,109.83,91.58,110.21,"1,408.21",-,"1,430.96",-,-0.37,-54.29,-27.61,-63.23,-52.95,-26.92,-61.33,-312.62,-33.04,-159.74,0.64,685.89,-,-,"-5,837.50","-104,697.50","-101,777.50",-,-34.53,13.28,-,-,"8,152.00","185,955.00"
HII,Hire Intelligence International Limited,0,0,0.1,-20,0.41,-,-,0,-,0,-,0,-,0.77,0.2,0.01,1.38,0,0,0,0,0,0,0,0,-,-1.68,8.78,7.46,-1.55,7.29,6.6,-1.7,9.05,7.53,-,3.31,-,75.57,8.49,0.13,-2.37,-12.05,3,-,-12.05,-,0,"32,234.00"
HIL,Hills Ltd,-0.29,0.36,0.37,53.19,1.21,83510000,-,0,-,0,0.02,0,5.83,0,0.3,0.02,2.08,16.9,16.9,17.19,17.19,40.09,40.09,40.78,40.78,-0.22,-47.66,-8.54,-47.66,-30.26,-6.13,-30.26,-66.42,-11.57,-66.42,1.45,160.73,-,31.65,2.64,-13.67,-20.77,-,-21.41,-9.93,-,-,"111,500.00","271,804.00"
HIN,"HeartWare International, Inc.",-0.15,0,-,-,-,-,-,0,-,0,-,0,-,-,0.14,0.22,5.06,48.58,31.12,48.58,31.12,147.07,53.09,147.07,53.09,-7.81,-28.85,-31.96,-44.33,-26.01,-29.46,-39.23,-49.4,-49.17,-89.97,-,521.75,-,58.11,-34.59,-38.67,-46.26,-,-,-,-,-,0,"25,614.00"
HIT,HiTech Group Australia Limited,0.07,0.57,0.46,81.67,2.84,19890000,8.13,0,0.02,0,0.02,0,3.67,-,0.19,0.16,3.61,0,0,0,0,0,0,0,0,8.72,44.59,20.9,44.59,31.65,15.45,31.65,44.76,20.95,44.76,-1.07,7.64,-,21.3,13.94,17.05,11.88,27.35,15.87,14.3,27.34,56.6,"33,500.00","13,283.00"
