,column_name,importance
180,GRCPBMAD_T1P,0.00026938724
431,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_5",0.00026845187
160,FIRMMCRT_T1P,0.0002665811
110,twelve_week_bollinger_upper,0.00026096887
662,"value__linear_trend__attr_""slope""",0.00025909813
102,eight_week_dividend_value,0.00024974442
188,GRCPRCAD_T1P,0.00024974442
66,two_week_min,0.00024787366
415,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_5",0.0002469383
164,GRCPAIAD_T1P,0.00024506755
79,four_week_min,0.00023851995
89,four_week_dividend_value,0.00023571383
92,eight_week_min,0.0002263601
67,two_week_max,0.00022168324
72,two_week_bollinger_lower,0.00021794175
105,twelve_week_min,0.00021513563
63,one_week_dividend_value,0.00021420026
134,fifty_two_week_median,0.00020765266
218,"value__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""intercept""",0.00020671729
80,four_week_max,0.00018613909
168,GRCPAISAD_T1P,0.00018520372
408,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10",0.00017865612
400,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_10",0.00017491462
384,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_10",0.00016743164
117,twelve_week_total_return,0.00015994867
76,two_week_dividend_value,0.00015807792
111,twelve_week_bollinger_lower,0.00015340107
106,twelve_week_max,0.00015246568
69,two_week_median,0.00015246568
427,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_5",0.00015153032
419,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_5",0.0001487242
121,twenty_six_week_median,0.00014685346
423,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_5",0.00014591808
192,H01_GGDPCVGDPFY_T1P,0.00014311196
455,"value__fft_coefficient__coeff_0__attr_""real""",0.00014124122
396,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_13__w_10",0.00014124122
382,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20",0.00014030584
93,eight_week_max,0.0001384351
226,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""intercept""",0.00013656435
392,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_10",0.0001253399
172,GRCPBCAD_T1P,0.0001215984
412,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_10",0.0001215984
697,four_week_bollinger_type_Above,0.00011879228
388,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_10",0.000117856915
176,GRCPBCSAD_T1P,0.00011692154
378,value__cid_ce__normalize_False,0.00011692154
416,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10",0.00011411542
703,eight_week_bollinger_type_Above,0.000107567816
659,"value__linear_trend__attr_""intercept""",9.073112e-05
420,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_10",8.886037e-05
428,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10",8.886037e-05
424,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10",8.605426e-05
700,four_week_bollinger_prediction_Falling,8.511888e-05
95,eight_week_median,8.324814e-05
